pr_number,complexity_tier,n_runs,precision_mean,precision_std,recall_mean,recall_std,jaccard_mean,jaccard_std,f1_mean,f1_std,consistent
6547,complex,3,0.8333,0.0,0.8333,0.0,0.7143,0.0,0.8333,0.0,1
6594,simple,3,0.5,0.0,0.5,0.0,0.3333,0.0,0.5,0.0,1
6595,simple,3,0.5,0.0,1.0,0.0,0.5,0.0,0.6667,0.0,1
6611,complex,3,1.0,0.0,0.8333,0.0,0.8333,0.0,0.9091,0.0,1
6614,medium,3,0.5,0.0,0.6667,0.0,0.4,0.0,0.5714,0.0,1
6644,medium,3,0.75,0.0,0.75,0.0,0.6,0.0,0.75,0.0,1
6699,medium,3,0.25,0.0,0.5,0.0,0.2,0.0,0.3333,0.0,1
6700,complex,3,0.6,0.0,0.5,0.0,0.375,0.0,0.5455,0.0,1
6708,simple,3,0.5,0.0,1.0,0.0,0.5,0.0,0.6667,0.0,1
6710,complex,3,1.0,0.0,0.8333,0.0,0.8333,0.0,0.9091,0.0,1
6752,medium,3,0.25,0.0,0.3333,0.0,0.1667,0.0,0.2857,0.0,1
6762,complex,3,0.625,0.0,0.625,0.0,0.4545,0.0,0.625,0.0,1
6777,complex,3,0.6667,0.0,0.6667,0.0,0.5,0.0,0.6667,0.0,1
6846,medium,3,0.5,0.0,0.3333,0.0,0.25,0.0,0.4,0.0,1
6932,simple,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
6951,simple,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
6955,complex,3,1.0,0.0,0.75,0.0,0.75,0.0,0.8571,0.0,1
6961,complex,3,0.7308,0.0272,0.75,0.0,0.5875,0.0177,0.74,0.0141,1
6970,simple,3,0.6667,0.0,1.0,0.0,0.6667,0.0,0.8,0.0,1
7029,simple,3,0.5,0.0,0.5,0.0,0.3333,0.0,0.5,0.0,1
7050,simple,3,0.5,0.0,0.5,0.0,0.3333,0.0,0.5,0.0,1
7077,simple,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
7080,complex,3,0.6667,0.0,0.6667,0.0,0.5,0.0,0.6667,0.0,1
7104,medium,3,0.2619,0.0701,0.3333,0.0943,0.1741,0.0532,0.2929,0.0795,1
7117,complex,3,0.5667,0.17,0.2727,0.0742,0.2302,0.0785,0.3676,0.1026,1
7147,medium,3,0.6667,0.0,0.6667,0.0,0.5,0.0,0.6667,0.0,1
7153,medium,3,0.75,0.0,0.6,0.0,0.5,0.0,0.6667,0.0,1
7166,simple,3,0.2857,0.0,1.0,0.0,0.2857,0.0,0.4444,0.0,1
7200,medium,3,0.8,0.0,1.0,0.0,0.8,0.0,0.8889,0.0,1
7209,medium,3,0.6667,0.0,0.6667,0.0,0.5,0.0,0.6667,0.0,1
